BIB NUMBER,NAME,ID,COLLEGE
101,Aarav Sharma,M001,Fergusson College
102,Rahul Verma,M002,St. Xavier's
103,Karan Patel,M003,Loyola College
104,Vikram Singh,M004,Fergusson College
105,Arjun Nair,M005,
106,Rohan Das,M006,St. Xavier's
107,Aditya Rao,M007,Loyola College
108,Sameer Khan,M008,Christ University
109,Nikhil Reddy,M009,Fergusson College
201,Priya Menon,W001,Fergusson College
202,Sneha Iyer,W002,St. Xavier's
203,Ananya Bose,W003,Loyola College
204,Divya Pillai,W004,Christ University
205,Meera Joshi,W005,Fergusson College
206,Kavya Nair,W006,St. Xavier's
207,Ritika Shah,W007,Loyola College
208,Pooja Desai,W008,Christ University
209,Isha Kapoor,W009,Fergusson College
210,Tanvi Rao,W010,St. Xavier's
